ds,y
2018-07-15,27.076249999999998
2018-07-16,27.126666666666665
2018-07-17,27.99208333333333
2018-07-18,28.134583333333335
2018-07-19,28.379583333333333
2018-07-20,28.41
2018-07-21,28.452083333333334
2018-07-22,28.745416666666667
2018-07-23,28.585416666666664
2018-07-24,27.545833333333334
2018-07-25,27.372083333333332
2018-07-26,27.241249999999997
2018-07-27,27.41333333333333
2018-07-28,27.99291666666667
2018-07-29,28.035
2018-07-30,28.41125
2018-07-31,28.173333333333332
2018-08-01,28.047916666666666
2018-08-02,26.66541666666667
2018-08-03,26.496666666666666
2018-08-04,26.37625
2018-08-05,25.87875
2018-08-06,26.58875
2018-08-07,27.59
2018-08-08,28.2475
2018-08-09,28.45958333333333
2018-08-10,27.87833333333333
2018-08-11,27.866249999999997
2018-08-12,28.37375
